League,Week,Winner,Loser,Winner Pts,Loser Pts
BB5,1,msbosway,Mschmoopie,197.76,167.16
BB5,2,msbosway,tford51,156.62,136.76
BB5,5,msbosway,Fordo45,178.66,124.08
MainLeague,4,koolaid403,gpeisert1,193.88,155.44
MainLeague,1,koolaid403,theBandit216,135.52,130.3
MainLeague,6,koolaid403,tford51,128.38,120.52
MainLeague,2,koolaid403,aledo,130.55,130.2
MainLeague,5,koolaid403,CoryPeisert,160.14,118.18
BB1,3,aledo,theBandit216,206.82,123.84
BB1,4,aledo,tford51,164.38,100.24
BB2,5,aledo,ProfessorD,154.5,143.7
BB2,1,aledo,theBandit216,147.46,146.86
BB2,3,aledo,ConorDeLa,151.34,143.82
BB2,4,aledo,koolaid403,147.88,127.84
BB2,2,aledo,ChiJV,167.16,131.6
BB3,5,JeffMyers,koolaid403,177.16,109.56
BB3,1,JeffMyers,aledo,162.16,153.68
BB3,3,JeffMyers,gpeisert1,167.36,133.26
BB4,7,msbosway,ProfessorD,153.86,142.16
BB4,1,msbosway,jnappy,168.74,155.62
BB4,3,msbosway,WestCoastNonsense,150.26,120.42
BB5,1,Fordo45,aledo,148.7,117.74
MainLeague,1,ChiJV,MEDIAN,,
MainLeague,1,gpeisert1,MEDIAN,,
MainLeague,1,WestCoastNonsense,MEDIAN,,
MainLeague,1,MEDIAN,ConorDeLa,,
MainLeague,1,MEDIAN,Mschmoopie,,
MainLeague,1,theBandit216,MEDIAN,,
MainLeague,1,MEDIAN,tford51,,
MainLeague,1,MEDIAN,ProfessorD,,
MainLeague,1,MEDIAN,aledo,,
MainLeague,1,MEDIAN,plfinken,,
MainLeague,1,CoryPeisert,MEDIAN,,
MainLeague,1,koolaid403,MEDIAN,,
BB1,1,ProfessorD,MEDIAN,,
BB1,1,gpeisert1,MEDIAN,,
BB1,1,WestCoastNonsense,MEDIAN,,
BB1,1,MEDIAN,theBandit216,,
BB1,1,jnappy,MEDIAN,,
BB1,1,Mschmoopie,MEDIAN,,
BB1,1,koolaid403,MEDIAN,,
BB1,1,MEDIAN,ConorDeLa,,
BB1,1,MEDIAN,ChiJV,,
BB1,1,MEDIAN,tford51,,
BB1,1,MEDIAN,plfinken,,
BB1,1,MEDIAN,aledo,,
BB2,1,ProfessorD,MEDIAN,,
BB2,1,MEDIAN,jnappy,,
BB2,1,MEDIAN,theBandit216,,
BB2,1,MEDIAN,WestCoastNonsense,,
BB2,1,MEDIAN,gpeisert1,,
BB2,1,MEDIAN,ConorDeLa,,
BB2,1,koolaid403,MEDIAN,,
BB2,1,Mschmoopie,MEDIAN,,
BB2,1,Deerslayer65,MEDIAN,,
BB2,1,tford51,MEDIAN,,
