full_name,espn_id,rotowire_id,sportradar_id,yahoo_id,college,years_experience,team,position,coach,bye,league_name
Greg Dulcich,-1,15891,b9e4a022-d15c-4cef-9879-170277f17207,-1,UCLA,2.0,DEN,TE,ConorDeLa,14,MainLeague
Luke Musgrave,-1,16663,77a4fb49-3c6c-4aa1-8a21-20956e2d2240,-1,Oregon State,1.0,GB,TE,ConorDeLa,10,MainLeague
Jordan Addison,-1,16895,63fdd64e-1a23-4b77-9536-b1609f3a708c,-1,USC,1.0,MIN,WR,ConorDeLa,6,MainLeague
Dalton Kincaid,-1,16697,b961fa15-0676-4948-b95f-56d06319d40e,-1,Utah,1.0,BUF,TE,Mschmoopie,12,MainLeague
Malik Cunningham,-1,16691,2bf2f410-e6f2-11ed-abca-c7a3a205e21d,-1,Louisville,1.0,BAL,QB,Mschmoopie,14,MainLeague
Devin Leary,-1,17911,8e947d6d-f043-4e12-8a42-b7c30732cdeb,-1,Kentucky,0.0,BAL,QB,Mschmoopie,14,MainLeague
Will Shipley,-1,17802,796e223d-e8d5-42ab-afb4-557fa6183357,-1,Clemson,0.0,PHI,RB,Mschmoopie,5,MainLeague
Rome Odunze,-1,17020,f64694e0-0381-11ef-973d-5176a0ecbee4,-1,Washington,0.0,CHI,WR,Mschmoopie,7,MainLeague
Adonai Mitchell,-1,17668,190dbc97-2b7c-4023-b6b0-5729b854b60b,-1,Texas,0.0,IND,WR,Mschmoopie,14,MainLeague
Xavier Legette,-1,17734,0bb0c37c-e76b-4529-92b0-b026be4f7d6c,-1,South Carolina,0.0,CAR,WR,Mschmoopie,11,MainLeague
Devontez Walker,-1,17728,b5d1ed29-c72a-45ff-ae60-337e13728b2f,-1,North Carolina,0.0,BAL,WR,Mschmoopie,14,MainLeague
Keon Coleman,-1,17732,6752915f-efe5-473d-a520-78cadfab6dda,-1,Florida State,0.0,BUF,WR,Mschmoopie,12,MainLeague
Kendall Milton,-1,17970,d0dd8a70-072c-11ef-a49f-41e71daeb2e1,-1,Georgia,0.0,PHI,RB,Mschmoopie,5,MainLeague
